"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"MIX",2015,"Mixedwood",35,"31-40",372402.00
"MIX",2015,"Mixedwood",45,"41-50",280045.16
"MIX",2015,"Mixedwood",55,"51-60",323330.76
"MIX",2015,"Mixedwood",65,"61-70",469627.03
"MIX",2015,"Mixedwood",75,"71-80",539487.59
"MIX",2015,"Mixedwood",85,"81-90",655351.56
"MIX",2015,"Mixedwood",95,"91-100",546503.78
"MIX",2015,"Mixedwood",105,"101-110",385587.39
"MIX",2015,"Mixedwood",115,"111-120",254435.24
"MIX",2015,"Mixedwood",125,"121-130",159931.49
"MIX",2015,"Mixedwood",135,"131-140",77663.24
"MIX",2015,"Mixedwood",145,"141-150",55831.40
"MIX",2015,"Mixedwood",155,"151-160",29902.40
"MIX",2015,"Mixedwood",165,"161-170",30409.11
"MIX",2015,"Mixedwood",175,"171-180",3566.06
"MIX",2015,"Mixedwood",185,"181+",5560.73
"MIX",2020,"Mixedwood",5,"0-10",229003.67
"MIX",2020,"Mixedwood",15,"11-20",282476.49
"MIX",2020,"Mixedwood",25,"21-30",481339.34
"MIX",2020,"Mixedwood",35,"31-40",475251.44
"MIX",2020,"Mixedwood",45,"41-50",457075.17
"MIX",2020,"Mixedwood",55,"51-60",431107.53
"MIX",2020,"Mixedwood",65,"61-70",493015.86
"MIX",2020,"Mixedwood",75,"71-80",764718.36
"MIX",2020,"Mixedwood",85,"81-90",770423.33
"MIX",2020,"Mixedwood",95,"91-100",726782.26
"MIX",2020,"Mixedwood",105,"101-110",358097.90
"MIX",2020,"Mixedwood",115,"111-120",189595.49
"MIX",2020,"Mixedwood",125,"121-130",140740.60
"MIX",2020,"Mixedwood",135,"131-140",78379.18
"MIX",2020,"Mixedwood",145,"141-150",28478.90
"MIX",2020,"Mixedwood",155,"151-160",19742.67
"MIX",2020,"Mixedwood",165,"161-170",5936.73
"MIX",2020,"Mixedwood",175,"171-180",1569.64
"MIX",2020,"Mixedwood",185,"181+",1603.71
"PJK",2000,"Jack Pine",5,"0-10",426031.43
"PJK",2000,"Jack Pine",15,"11-20",416420.88
"PJK",2000,"Jack Pine",25,"21-30",66598.24
"PJK",2000,"Jack Pine",35,"31-40",97065.01
"PJK",2000,"Jack Pine",45,"41-50",116625.46
"PJK",2000,"Jack Pine",55,"51-60",189045.38
"PJK",2000,"Jack Pine",65,"61-70",285421.68
"PJK",2000,"Jack Pine",75,"71-80",288364.36
"PJK",2000,"Jack Pine",85,"81-90",160608.55
"PJK",2000,"Jack Pine",95,"91-100",87049.27
"PJK",2000,"Jack Pine",105,"101-110",39070.67
"PJK",2000,"Jack Pine",115,"111-120",18894.69
"PJK",2000,"Jack Pine",125,"121-130",12176.87
"PJK",2000,"Jack Pine",135,"131-140",5362.35
"PJK",2000,"Jack Pine",145,"141-150",4814.01
"PJK",2000,"Jack Pine",155,"151-160",2164.81
"PJK",2000,"Jack Pine",165,"161-170",665.99
"PJK",2000,"Jack Pine",175,"171-180",95.38
"PJK",2000,"Jack Pine",185,"181+",499.66
"PJK",2005,"Jack Pine",5,"0-10",484412.86
"PJK",2005,"Jack Pine",15,"11-20",397019.60
"PJK",2005,"Jack Pine",25,"21-30",317401.82
"PJK",2005,"Jack Pine",35,"31-40",90923.16
"PJK",2005,"Jack Pine",45,"41-50",95327.58
"PJK",2005,"Jack Pine",55,"51-60",118186.61
"PJK",2005,"Jack Pine",65,"61-70",145179.05
"PJK",2005,"Jack Pine",75,"71-80",215667.16
"PJK",2005,"Jack Pine",85,"81-90",181175.41
"PJK",2005,"Jack Pine",95,"91-100",91256.40
"PJK",2005,"Jack Pine",105,"101-110",49518.23
"PJK",2005,"Jack Pine",115,"111-120",19435.25
"PJK",2005,"Jack Pine",125,"121-130",20649.57
"PJK",2005,"Jack Pine",135,"131-140",10928.72
"PJK",2005,"Jack Pine",145,"141-150",4823.52
"PJK",2005,"Jack Pine",155,"151-160",2058.66
"PJK",2005,"Jack Pine",165,"161-170",326.16
"PJK",2005,"Jack Pine",175,"171-180",235.94
"PJK",2005,"Jack Pine",185,"181+",139.66
"PJK",2010,"Jack Pine",5,"0-10",341551.32
"PJK",2010,"Jack Pine",15,"11-20",397544.28
"PJK",2010,"Jack Pine",25,"21-30",396418.48
